trip_id,membership_type,bicycle_id,bike_type,checkout_datetime,checkout_date,checkout_time,checkout_kiosk_id,checkout_kiosk,return_kiosk_id,return_kiosk,trip_duration_minutes,month,year
29577736,Local365,21790,electric,2023-05-09T17:00:23.000,2023-05-09T00:00:00.000,2025-11-19 17:00:23,3619,6th/Congress,3619,South Congress @ Bouldin Creek,7,5,2023
29588828,Local365,153,classic,2023-05-10T16:40:21.000,2023-05-10T00:00:00.000,2025-11-19 16:40:21,3619,6th/Congress,3619,South Congress @ Bouldin Creek,6,5,2023
29505007,Local365,15063E,electric,2023-05-02T16:51:57.000,2023-05-02T00:00:00.000,2025-11-19 16:51:57,3619,6th/Congress,3619,South Congress @ Bouldin Creek,8,5,2023
29661709,Local365,21497,electric,2023-05-19T12:55:00.000,2023-05-19T00:00:00.000,2025-11-19 12:55:00,3798,21st/Speedway @ PCL,3798,Plaza Saltillo,47,5,2023
29685351,Local31,19918,electric,2023-05-21T19:07:11.000,2023-05-21T00:00:00.000,2025-11-19 19:07:11,4060,Red River/Cesar Chavez @ The Fairmont,4060,South Congress/Elizabeth,34,5,2023
29688495,Local31,19480,electric,2023-05-22T10:14:43.000,2023-05-22T00:00:00.000,2025-11-19 10:14:43,4060,Red River/Cesar Chavez @ The Fairmont,4060,11th/Congress @ The Texas Capitol,27,5,2023
29688797,Local31,19480,electric,2023-05-22T10:50:43.000,2023-05-22T00:00:00.000,2025-11-19 10:50:43,2497,11th/Congress @ The Texas Capitol,2497,16th/San Antonio,53,5,2023
29745302,Local31,16288,electric,2023-05-28T13:54:03.000,2023-05-28T00:00:00.000,2025-11-19 13:54:03,2547,21st/Guadalupe,2547,8th/Red River,16,5,2023
29759265,Local31,21628,electric,2023-05-29T16:50:06.000,2023-05-29T00:00:00.000,2025-11-19 16:50:06,2571,8th/Red River,2571,4th/Congress,12,5,2023
29760478,Local31,19367,electric,2023-05-29T18:11:49.000,2023-05-29T00:00:00.000,2025-11-19 18:11:49,2494,2nd/Congress,2494,8th/Red River,30,5,2023
29699224,Local31,18329,electric,2023-05-23T13:49:55.000,2023-05-23T00:00:00.000,2025-11-19 13:49:55,4060,Red River/Cesar Chavez @ The Fairmont,4060,3rd/Trinity @ The Convention Center,4,5,2023
29699989,Local31,18329,electric,2023-05-23T15:13:51.000,2023-05-23T00:00:00.000,2025-11-19 15:13:51,2539,3rd/Trinity @ The Convention Center,2539,6th/Congress,7,5,2023
29700172,Local31,19821,electric,2023-05-23T15:35:22.000,2023-05-23T00:00:00.000,2025-11-19 15:35:22,3619,6th/Congress,3619,Red River/Cesar Chavez @ The Fairmont,9,5,2023
13505965,Annual,352,classic,2017-01-21T18:22:44.000,2017-01-21T00:00:00.000,2025-11-19 18:22:44,2494,2nd & Congress,2504,South Congress & Elizabeth,11,1,2017
29689642,Local31,19480,electric,2023-05-22T12:12:23.000,2023-05-22T00:00:00.000,2025-11-19 12:12:23,4879,16th/San Antonio,4879,Dean Keeton/Whitis,21,5,2023
